Country_Region,Lat,Long,Population,Date,Vaccinations
Afghanistan,33.9391,67.71,38928341,2/22/2021,0
Afghanistan,33.9391,67.71,38928341,2/23/2021,0
Afghanistan,33.9391,67.71,38928341,2/24/2021,0
Afghanistan,33.9391,67.71,38928341,2/25/2021,0
Afghanistan,33.9391,67.71,38928341,2/26/2021,0
Afghanistan,33.9391,67.71,38928341,2/27/2021,0
Afghanistan,33.9391,67.71,38928341,2/28/2021,8200
Afghanistan,33.9391,67.71,38928341,3/1/2021,8200
Afghanistan,33.9391,67.71,38928341,3/2/2021,8200
Afghanistan,33.9391,67.71,38928341,3/3/2021,8200
Afghanistan,33.9391,67.71,38928341,3/4/2021,8200
Afghanistan,33.9391,67.71,38928341,3/5/2021,8200
Afghanistan,33.9391,67.71,38928341,3/6/2021,8200
Afghanistan,33.9391,67.71,38928341,3/7/2021,8200
Afghanistan,33.9391,67.71,38928341,3/8/2021,8200
Afghanistan,33.9391,67.71,38928341,3/9/2021,8200
Afghanistan,33.9391,67.71,38928341,3/10/2021,8200
Afghanistan,33.9391,67.71,38928341,3/11/2021,8200
Afghanistan,33.9391,67.71,38928341,3/12/2021,8200
Afghanistan,33.9391,67.71,38928341,3/13/2021,8200
Afghanistan,33.9391,67.71,38928341,3/14/2021,8200
Afghanistan,33.9391,67.71,38928341,3/15/2021,8200
Afghanistan,33.9391,67.71,38928341,3/16/2021,54000
Afghanistan,33.9391,67.71,38928341,3/17/2021,54000
Afghanistan,33.9391,67.71,38928341,3/18/2021,54000
Afghanistan,33.9391,67.71,38928341,3/19/2021,54000
Afghanistan,33.9391,67.71,38928341,3/20/2021,54000
Afghanistan,33.9391,67.71,38928341,3/21/2021,54000
Afghanistan,33.9391,67.71,38928341,3/22/2021,54000
Afghanistan,33.9391,67.71,38928341,3/23/2021,54000
Afghanistan,33.9391,67.71,38928341,3/24/2021,54000
Afghanistan,33.9391,67.71,38928341,3/25/2021,54000
Afghanistan,33.9391,67.71,38928341,3/26/2021,54000
Afghanistan,33.9391,67.71,38928341,3/27/2021,54000
Afghanistan,33.9391,67.71,38928341,3/28/2021,54000
Afghanistan,33.9391,67.71,38928341,3/29/2021,54000
Afghanistan,33.9391,67.71,38928341,3/30/2021,54000
Afghanistan,33.9391,67.71,38928341,3/31/2021,54000
Afghanistan,33.9391,67.71,38928341,4/1/2021,54000
Afghanistan,33.9391,67.71,38928341,4/2/2021,54000
Afghanistan,33.9391,67.71,38928341,4/3/2021,54000
Afghanistan,33.9391,67.71,38928341,4/4/2021,54000
Afghanistan,33.9391,67.71,38928341,4/5/2021,54000
Afghanistan,33.9391,67.71,38928341,4/6/2021,54000
Afghanistan,33.9391,67.71,38928341,4/7/2021,120000
Afghanistan,33.9391,67.71,38928341,4/8/2021,120000
Afghanistan,33.9391,67.71,38928341,4/9/2021,120000
Afghanistan,33.9391,67.71,38928341,4/10/2021,120000
Afghanistan,33.9391,67.71,38928341,4/11/2021,120000
Afghanistan,33.9391,67.71,38928341,4/12/2021,120000
Afghanistan,33.9391,67.71,38928341,4/13/2021,120000
Afghanistan,33.9391,67.71,38928341,4/14/2021,120000
Afghanistan,33.9391,67.71,38928341,4/15/2021,120000
Afghanistan,33.9391,67.71,38928341,4/16/2021,120000
Afghanistan,33.9391,67.71,38928341,4/17/2021,120000
Afghanistan,33.9391,67.71,38928341,4/18/2021,120000
Afghanistan,33.9391,67.71,38928341,4/19/2021,120000
Afghanistan,33.9391,67.71,38928341,4/20/2021,120000
Afghanistan,33.9391,67.71,38928341,4/21/2021,120000
Afghanistan,33.9391,67.71,38928341,4/22/2021,240000
Afghanistan,33.9391,67.71,38928341,4/23/2021,240000
Afghanistan,33.9391,67.71,38928341,4/24/2021,240000
Afghanistan,33.9391,67.71,38928341,4/25/2021,240000
Afghanistan,33.9391,67.71,38928341,4/26/2021,240000
Afghanistan,33.9391,67.71,38928341,4/27/2021,240000
Afghanistan,33.9391,67.71,38928341,4/28/2021,240000
Afghanistan,33.9391,67.71,38928341,4/29/2021,240000
Afghanistan,33.9391,67.71,38928341,4/30/2021,240000
Afghanistan,33.9391,67.71,38928341,5/1/2021,240000
Afghanistan,33.9391,67.71,38928341,5/2/2021,240000
Afghanistan,33.9391,67.71,38928341,5/3/2021,240000
