COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,VACCINES_USED
Afghanistan,AFG,EMRO,REPORTING,9/16/2021 0:00,2367948,956131,6.083,2.456,1411817,3.627,2/22/2021 0:00,4,Beijing CNBG - BBIBP-CorV
Afghanistan,AFG,EMRO,REPORTING,9/16/2021 0:00,2367948,956131,6.083,2.456,1411817,3.627,2/22/2021 0:00,4,Janssen - Ad26.COV 2.5
Afghanistan,AFG,EMRO,REPORTING,9/16/2021 0:00,2367948,956131,6.083,2.456,1411817,3.627,2/22/2021 0:00,4,Pfizer BioNTech - Comirnaty
Afghanistan,AFG,EMRO,REPORTING,9/16/2021 0:00,2367948,956131,6.083,2.456,1411817,3.627,2/22/2021 0:00,4,SII - Covishield
Albania,ALB,EURO,OWID,9/21/2021 0:00,1665590,923771,57.877,32.1,741819,25.777,,4,AstraZeneca - AZD1222
Albania,ALB,EURO,OWID,9/21/2021 0:00,1665590,923771,57.877,32.1,741819,25.777,,4,Pfizer BioNTech - Comirnaty
Albania,ALB,EURO,OWID,9/21/2021 0:00,1665590,923771,57.877,32.1,741819,25.777,,4,Sinovac - CoronaVac
Albania,ALB,EURO,OWID,9/21/2021 0:00,1665590,923771,57.877,32.1,741819,25.777,,4,Gamaleya - Sputnik V
Algeria,DZA,AFRO,REPORTING,9/12/2021 0:00,9989662,5815039,22.781,13.261,4174623,9.52,1/30/2021 0:00,3,Beijing CNBG - BBIBP-CorV
Algeria,DZA,AFRO,REPORTING,9/12/2021 0:00,9989662,5815039,22.781,13.261,4174623,9.52,1/30/2021 0:00,3,Gamaleya - Sputnik V
Algeria,DZA,AFRO,REPORTING,9/12/2021 0:00,9989662,5815039,22.781,13.261,4174623,9.52,1/30/2021 0:00,3,SII - Covishield
American Samoa,ASM,WPRO,REPORTING,9/14/2021 0:00,58228,32223,105.491,58.378,26551,48.102,12/21/2020 0:00,3,Janssen - Ad26.COV 2.5
American Samoa,ASM,WPRO,REPORTING,9/14/2021 0:00,58228,32223,105.491,58.378,26551,48.102,12/21/2020 0:00,3,Moderna - mRNA-1273
American Samoa,ASM,WPRO,REPORTING,9/14/2021 0:00,58228,32223,105.491,58.378,26551,48.102,12/21/2020 0:00,3,Pfizer BioNTech - Comirnaty
Andorra,AND,EURO,OWID,8/29/2021 0:00,93430,51599,120.922,66.782,41831,54.14,,2,AstraZeneca - AZD1222
Andorra,AND,EURO,OWID,8/29/2021 0:00,93430,51599,120.922,66.782,41831,54.14,,2,Pfizer BioNTech - Comirnaty
Angola,AGO,AFRO,REPORTING,9/19/2021 0:00,2820134,1836547,8.581,5.588,983587,2.993,3/10/2021 0:00,1,SII - Covishield
Anguilla,AIA,AMRO,REPORTING,9/17/2021 0:00,18565,9498,123.75,63.312,9067,60.439,2/5/2021 0:00,1,AstraZeneca - Vaxzevria
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,AstraZeneca - Vaxzevria
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,Beijing CNBG - BBIBP-CorV
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,Gamaleya - Sputnik V
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,Janssen - Ad26.COV 2.5
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,Pfizer BioNTech - Comirnaty
Antigua and Barbuda,ATG,AMRO,REPORTING,9/17/2021 0:00,81298,44734,83.017,45.68,36564,37.337,2/19/2021 0:00,6,SII - Covishield
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,AstraZeneca - Vaxzevria
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,Beijing CNBG - BBIBP-CorV
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,CanSino - Ad5-nCOV
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,Gamaleya - Sputnik V
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,Moderna - mRNA-1273
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,Pfizer BioNTech - Comirnaty
Argentina,ARG,AMRO,REPORTING,9/3/2021 0:00,43696315,28183966,96.682,62.36,15512349,34.323,12/29/2020 0:00,7,SII - Covishield
Armenia,ARM,EURO,OWID,9/19/2021 0:00,366779,237454,12.378,8.013,129325,4.364,,3,AstraZeneca - AZD1222
Armenia,ARM,EURO,OWID,9/19/2021 0:00,366779,237454,12.378,8.013,129325,4.364,,3,Sinovac - CoronaVac
Armenia,ARM,EURO,OWID,9/19/2021 0:00,366779,237454,12.378,8.013,129325,4.364,,3,Gamaleya - Sputnik V
Aruba,ABW,AMRO,REPORTING,9/17/2021 0:00,153671,80436,143.933,75.339,73235,68.594,2/17/2021 0:00,2,Janssen - Ad26.COV 2.5
Aruba,ABW,AMRO,REPORTING,9/17/2021 0:00,153671,80436,143.933,75.339,73235,68.594,2/17/2021 0:00,2,Pfizer BioNTech - Comirnaty
Australia,AUS,WPRO,REPORTING,9/11/2021 0:00,22669372,13907333,88.9,54.539,8720390,34.198,2/21/2021 0:00,3,AstraZeneca - Vaxzevria
Australia,AUS,WPRO,REPORTING,9/11/2021 0:00,22669372,13907333,88.9,54.539,8720390,34.198,2/21/2021 0:00,3,Novavax - Covavax
Australia,AUS,WPRO,REPORTING,9/11/2021 0:00,22669372,13907333,88.9,54.539,8720390,34.198,2/21/2021 0:00,3,Pfizer BioNTech - Comirnaty
Austria,AUT,EURO,OWID,9/21/2021 0:00,10750025,5679793,120.772,63.81,5364832,60.272,,4,Janssen - Ad26.COV 2.5
Austria,AUT,EURO,OWID,9/21/2021 0:00,10750025,5679793,120.772,63.81,5364832,60.272,,4,Moderna - mRNA-1273
Austria,AUT,EURO,OWID,9/21/2021 0:00,10750025,5679793,120.772,63.81,5364832,60.272,,4,AstraZeneca - AZD1222
Austria,AUT,EURO,OWID,9/21/2021 0:00,10750025,5679793,120.772,63.81,5364832,60.272,,4,Pfizer BioNTech - Comirnaty
Azerbaijan,AZE,EURO,OWID,9/21/2021 0:00,8043423,4636579,79.33,45.729,3406844,33.601,,3,AstraZeneca - AZD1222
