declines,totalVolume,advances,unchanged,totalTrades,tradeReportDate,fiftyTwoWeekHigh,productCategory,fiftyTwoWeekLow
178,3186.811031,84,30,385,2021-12-07,10,all securities,144
39,1189.403611,9,2,61,2021-12-07,1,freddie mac,22
25,559.642237,17,3,52,2021-12-07,3,fannie mae,8
71,1139.672815,35,25,172,2021-12-07,2,fhlb,80
155,3052.680101,102,22,360,2021-12-08,6,all securities,145
30,989.629105,15,1,61,2021-12-08,1,freddie mac,20
22,496.64474,12,1,40,2021-12-08,0,fannie mae,10
65,973.605254,44,20,155,2021-12-08,4,fhlb,75
99,3315.423047,127,35,351,2021-12-09,8,all securities,105
17,1501.964425,33,2,65,2021-12-09,1,freddie mac,15
21,219.487008,24,4,56,2021-12-09,0,fannie mae,8
32,1139.58241,53,29,153,2021-12-09,2,fhlb,57
92,2247.48778,107,17,283,2021-12-10,8,all securities,60
14,718.58462,20,5,51,2021-12-10,3,freddie mac,7
18,365.371273,18,0,45,2021-12-10,0,fannie mae,11
39,872.935,47,11,116,2021-12-10,3,fhlb,26
74,2279.748301,156,20,323,2021-12-13,8,all securities,58
13,630.167453,37,2,59,2021-12-13,6,freddie mac,7
14,639.114378,35,2,62,2021-12-13,0,fannie mae,7
34,690.435,41,16,116,2021-12-13,0,fhlb,23
147,4330.129223,119,13,379,2021-12-14,15,all securities,73
35,2554.918871,17,2,74,2021-12-14,4,freddie mac,10
25,639.631625,16,1,54,2021-12-14,2,fannie mae,7
48,924.535,45,10,131,2021-12-14,4,fhlb,27
111,2694.581029,98,14,298,2021-12-15,4,all securities,65
21,1119.886084,22,4,53,2021-12-15,0,freddie mac,6
21,108.43157,10,1,37,2021-12-15,1,fannie mae,6
43,958.829375,39,8,125,2021-12-15,2,fhlb,32
87,3963.9233,172,16,358,2021-12-16,9,all securities,51
11,2300.2725,43,3,71,2021-12-16,5,freddie mac,6
23,332.222255,24,1,58,2021-12-16,0,fannie mae,5
29,966.502,64,12,133,2021-12-16,0,fhlb,25
126,2084.330324,155,16,447,2021-12-17,19,all securities,84
16,944.153027,22,2,45,2021-12-17,6,freddie mac,2
23,164.770247,15,1,51,2021-12-17,3,fannie mae,9
39,523.57049,61,12,150,2021-12-17,5,fhlb,28
88,1888.98438,145,12,394,2021-12-20,18,all securities,97
14,513.921,16,3,45,2021-12-20,2,freddie mac,5
12,157.201216,19,0,39,2021-12-20,3,fannie mae,4
30,944.145222,60,8,139,2021-12-20,6,fhlb,32
165,3434.949927,110,17,368,2021-12-21,23,all securities,71
29,703.487621,12,5,52,2021-12-21,3,freddie mac,7
34,175.827463,7,0,49,2021-12-21,4,fannie mae,7
70,2171.741842,43,12,159,2021-12-21,7,fhlb,37
127,1684.638086,101,17,335,2021-12-22,9,all securities,62
23,544.289252,19,3,53,2021-12-22,0,freddie mac,6
16,234.644833,23,1,54,2021-12-22,1,fannie mae,1
49,792.93,36,13,135,2021-12-22,7,fhlb,30
95,939.250715,58,15,217,2021-12-23,6,all securities,44
