Country_Region,Population
Afghanistan,38928341.0
Albania,2877800.0
Algeria,43851043.0
Andorra,77265.0
Angola,32866268.0
Antigua and Barbuda,97928.0
Argentina,45195777.0
Australia,25459700.0
Austria,9006400.0
Azerbaijan,10139175.0
Bahamas,393248.0
Bahrain,1701583.0
Bangladesh,164689383.0
Barbados,287371.0
Belarus,9449321.0
Belgium,11589616.0
Belize,397621.0
Bolivia,11673029.0
Brazil,212559409.0
Bulgaria,6948445.0
Burma,54409794.0
Cambodia,16718971.0
Canada,37855702.0
Chile,19116209.0
China,1404676330.0
Colombia,50882884.0
Costa Rica,5094114.0
Cote d'Ivoire,26378275.0
Croatia,4105268.0
Cyprus,1207361.0
Czechia,10708982.0
Denmark,5792203.0
Dominica,71991.0
Dominican Republic,10847904.0
Ecuador,17643060.0
Egypt,102334403.0
El Salvador,6486201.0
Equatorial Guinea,1402985.0
Estonia,1326539.0
Finland,5540718.0
France,65273512.0
Gambia,2416664.0
Germany,83783945.0
Ghana,31072945.0
Greece,10423056.0
Grenada,112519.0
Guatemala,17915567.0
Guinea,13132792.0
Guyana,786559.0
Honduras,9904608.0
Hungary,9660350.0
Iceland,341250.0
India,1380004385.0
Indonesia,273523621.0
Iran,83992953.0
Ireland,4937796.0
Israel,8655541.0
Italy,60461828.0
Jamaica,2961161.0
Japan,126476458.0
Jordan,10203140.0
Kazakhstan,18776707.0
Kenya,53771300.0
Kuwait,4270563.0
Laos,7275556.0
Latvia,1886202.0
Lebanon,6825442.0
Liechtenstein,38137.0
Lithuania,2722291.0
Luxembourg,625976.0
Malawi,19129955.0
Malaysia,32365998.0
Maldives,540542.0
Malta,441539.0
Mauritius,1271767.0
Mexico,127792286.0
Moldova,4033963.0
Monaco,39244.0
Mongolia,3278292.0
Montenegro,628062.0
Morocco,36910558.0
Mozambique,31255435.0
Namibia,2540916.0
Nepal,29136808.0
Netherlands,17134873.0
New Zealand,4822233.0
Nigeria,206139587.0
North Macedonia,2083380.0
Norway,5421242.0
Oman,5106622.0
Pakistan,220892331.0
Panama,4314768.0
Paraguay,7132530.0
Peru,32971846.0
Philippines,109581085.0
Poland,37846605.0
Portugal,10196707.0
Qatar,2881060.0
Romania,19237682.0
Russia,145934460.0
Rwanda,12952209.0
Saint Kitts and Nevis,53192.0
Saint Lucia,183629.0
Saint Vincent and the Grenadines,110947.0
San Marino,33938.0
Saudi Arabia,34813867.0
Senegal,16743930.0
Serbia,8737370.0
Seychelles,98340.0
Sierra Leone,7976985.0
Singapore,5850343.0
Slovakia,5459643.0
Slovenia,2078932.0
South Africa,59308690.0
Spain,46754783.0
Sri Lanka,21413250.0
Suriname,586634.0
Sweden,10099270.0
Switzerland,8654618.0
Taiwan*,23816775.0
Thailand,69799978.0
Togo,8278737.0
Trinidad and Tobago,1399491.0
Tunisia,11818618.0
Turkey,84339067.0
US,329466283.0
Uganda,45741000.0
Ukraine,43733759.0
United Arab Emirates,9890400.0
United Kingdom,67886004.0
Uruguay,3473727.0
Venezuela,28435943.0
Vietnam,97338583.0
Zimbabwe,14862927.0
