Province_State,Country_Region,Lat,Long,Date,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/23/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/24/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/25/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/26/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/27/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/28/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/29/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/30/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/31/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/1/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/2/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/3/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/4/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/5/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/6/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/7/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/8/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/9/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/10/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/11/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/12/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/13/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/14/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/15/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/16/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/17/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/18/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/19/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/20/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/21/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/22/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/23/2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/24/2020,0
