row_names,id,security_name,ticker,sp500_weight,sec_type,major_asset_class,minor_asset_class
183,183,Agilent Technologies Inc.,A,0.12042,common_share,equity,large_cap
388,388,Goldman Sachs Physical Gold ETF,AAAU,,etf,commodities,oil
1,1,Apple Inc.,AAPL,7.03391,common_share,equity,large_cap
21,21,AbbVie Inc.,ABBV,0.73543,common_share,equity,large_cap
303,303,AmerisourceBergen Corporation,ABC,0.06563,common_share,equity,large_cap
33,33,Abbott Laboratories,ABT,0.55482,common_share,equity,large_cap
35,35,Accenture Plc Class A,ACN,0.5402,common_share,equity,large_cap
36,36,Adobe Incorporated,ADBE,0.53685,common_share,equity,large_cap
93,93,Analog Devices Inc.,ADI,0.23608,common_share,equity,large_cap
148,148,Archer-Daniels-Midland Company,ADM,0.15047,common_share,equity,large_cap
72,72,Automatic Data Processing Inc.,ADP,0.30015,common_share,equity,large_cap
158,158,Autodesk Inc.,ADSK,0.13587,common_share,equity,large_cap
278,278,Ameren Corporation,AEE,0.07187,common_share,equity,large_cap
140,140,American Electric Power Company Inc.,AEP,0.15815,common_share,equity,large_cap
341,341,AES Corporation,AES,0.05367,common_share,equity,large_cap
196,196,Aflac Incorporated,AFL,0.10929,common_share,equity,large_cap
399,399,iShares Core U.S. Aggregate Bond ETF,AGG,,etf,fixed_income,
171,171,American International Group Inc.,AIG,0.12747,common_share,equity,large_cap
190,190,Arthur J. Gallagher & Co.,AJG,0.11519,common_share,equity,large_cap
215,215,Albemarle Corporation,ALB,0.10031,common_share,equity,large_cap
336,336,Align Technology Inc.,ALGN,0.05564,common_share,equity,large_cap
208,208,Allstate Corporation,ALL,0.10338,common_share,equity,large_cap
88,88,Applied Materials Inc.,AMAT,0.24602,common_share,equity,large_cap
338,338,Amcor PLC,AMCR,0.05442,common_share,equity,large_cap
52,52,Advanced Micro Devices Inc.,AMD,0.3973,common_share,equity,large_cap
251,251,AMETEK Inc.,AME,0.08437,common_share,equity,large_cap
54,54,Amgen Inc.,AMGN,0.38833,common_share,equity,large_cap
233,233,Ameriprise Financial Inc.,AMP,0.09287,common_share,equity,large_cap
61,61,American Tower Corporation,AMT,0.36012,common_share,equity,large_cap
3,3,Amazon.com Inc.,AMZN,3.36425,common_share,equity,large_cap
260,260,Arista Networks Inc.,ANET,0.08119,common_share,equity,large_cap
306,306,ANSYS Inc.,ANSS,0.06533,common_share,equity,large_cap
116,116,Aon Plc Class A,AON,0.183,common_share,equity,large_cap
135,135,Air Products and Chemicals Inc.,APD,0.16672,common_share,equity,large_cap
165,165,Amphenol Corporation Class A,APH,0.13183,common_share,equity,large_cap
273,273,Aptiv PLC,APTV,0.07437,common_share,equity,large_cap
435,437,AltShares Merger Arbitrage ETF,ARB,,etf,alternatives,
290,290,Alexandria Real Estate Equities Inc.,ARE,0.06903,common_share,equity,large_cap
362,362,Atmos Energy Corporation,ATO,0.04856,common_share,equity,large_cap
123,123,Activision Blizzard Inc.,ATVI,0.17808,common_share,equity,large_cap
247,247,AvalonBay Communities Inc.,AVB,0.08703,common_share,equity,large_cap
28,28,Broadcom Inc.,AVGO,0.61904,common_share,equity,large_cap
255,255,American Water Works Company Inc.,AWK,0.08254,common_share,equity,large_cap
79,79,American Express Company,AXP,0.27735,common_share,equity,large_cap
169,169,AutoZone Inc.,AZO,0.12893,common_share,equity,large_cap
82,82,Boeing Company,BA,0.25989,common_share,equity,large_cap
452,455,Alibaba Group Holdings,BABA,,common_share,equity,large_cap
22,22,Bank of America Corp,BAC,0.72757,common_share,equity,large_cap
332,332,Ball Corporation,BALL,0.0566,common_share,equity,large_cap
383,383,GraniteShares Gold Shares,BAR,,etf,commodities,precious_metals
244,244,Baxter International Inc.,BAX,0.08754,common_share,equity,large_cap
379,379,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,BCI,,etf,commodities,precious_metals
102,102,Becton Dickinson and Company,BDX,0.2191,common_share,equity,large_cap
447,450,Baidu,BIDU,,common_share,equity,small_cap
241,241,Biogen Inc.,BIIB,0.09002,common_share,equity,large_cap
415,416,SPDR Bloomberg 1-3 Month T-Bill ETF,BIL,,etf,fixed_income,
226,226,Bank of New York Mellon Corp,BK,0.09576,common_share,equity,large_cap
96,96,Booking Holdings Inc.,BKNG,0.22931,common_share,equity,large_cap
300,300,Baker Hughes Company Class A,BKR,0.06618,common_share,equity,large_cap
75,75,BlackRock Inc.,BLK,0.2909,common_share,equity,large_cap
44,44,Bristol-Myers Squibb Company,BMY,0.43748,common_share,equity,large_cap
398,398,Vanguard Total Bond Market ETF,BND,,etf,fixed_income,
400,400,Vanguard Total International Bond ETF,BNDX,,etf,fixed_income,
326,326,Broadridge Financial Solutions Inc.,BR,0.0584,common_share,equity,large_cap
7,7,Berkshire Hathaway Inc. Class B,BRK.B,1.5182,common_share,equity,large_cap
403,403,Vanguard Short-Term Bond ETF,BSV,,etf,fixed_income,
121,121,Boston Scientific Corporation,BSX,0.18083,common_share,equity,large_cap
428,429,AGFiQ US Market Neutral Anti-Beta Fund,BTAL,,etf,alternatives,
77,77,Citigroup Inc.,C,0.28699,common_share,equity,large_cap
327,327,Cardinal Health Inc.,CAH,0.05834,common_share,equity,large_cap
202,202,Carrier Global Corp.,CARR,0.10644,common_share,equity,large_cap
76,76,Caterpillar Inc.,CAT,0.28932,common_share,equity,large_cap
89,89,Chubb Limited,CB,0.24485,common_share,equity,large_cap
264,264,CBRE Group Inc. Class A,CBRE,0.0772,common_share,equity,large_cap
100,100,Crown Castle Inc.,CCI,0.22345,common_share,equity,large_cap
156,156,Cadence Design Systems Inc.,CDNS,0.13994,common_share,equity,large_cap
286,286,CDW Corp.,CDW,0.06974,common_share,equity,large_cap
257,257,Constellation Energy Corporation,CEG,0.08229,common_share,equity,large_cap
312,312,CF Industries Holdings Inc.,CF,0.0633,common_share,equity,large_cap
337,337,Citizens Financial Group Inc.,CFG,0.05527,common_share,equity,large_cap
329,329,Church & Dwight Co. Inc.,CHD,0.05816,common_share,equity,large_cap
159,159,Charter Communications Inc. Class A,CHTR,0.13582,common_share,equity,large_cap
80,80,Cigna Corporation,CI,0.27318,common_share,equity,large_cap
113,113,Colgate-Palmolive Company,CL,0.19324,common_share,equity,large_cap
345,345,Clorox Company,CLX,0.05269,common_share,equity,large_cap
42,42,Comcast Corporation Class A,CMCSA,0.45507,common_share,equity,large_cap
105,105,CME Group Inc. Class A,CME,0.21443,common_share,equity,large_cap
155,155,Chipotle Mexican Grill Inc.,CMG,0.14086,common_share,equity,large_cap
239,239,Cummins Inc.,CMI,0.09079,common_share,equity,large_cap
323,323,CMS Energy Corporation,CMS,0.05945,common_share,equity,large_cap
395,395,Amplify Seymour Cannabis ETF,CNBS,,etf,commodities,cannabis
141,141,Centene Corporation,CNC,0.15808,common_share,equity,large_cap
318,318,CenterPoint Energy Inc.,CNP,0.06064,common_share,equity,large_cap
179,179,Capital One Financial Corp,COF,0.12391,common_share,equity,large_cap
49,49,ConocoPhillips,COP,0.41495,common_share,equity,large_cap
25,25,Costco Wholesale Corporation,COST,0.69457,common_share,equity,large_cap
275,275,Copart Inc.,CPRT,0.07356,common_share,equity,large_cap
40,40,Salesforce Inc.,CRM,0.46168,common_share,equity,large_cap
32,32,Cisco Systems Inc.,CSCO,0.5582,common_share,equity,large_cap
107,107,CSX Corporation,CSX,0.20742,common_share,equity,large_cap
434,436,Simplify Managed Futures Strategy ETF,CTA,,etf,alternatives,
193,193,Cintas Corporation,CTAS,0.11186,common_share,equity,large_cap
360,360,Catalent Inc,CTLT,0.04934,common_share,equity,large_cap
287,287,Coterra Energy Inc.,CTRA,0.06961,common_share,equity,large_cap
217,217,Cognizant Technology Solutions Corporation Class A,CTSH,0.09954,common_share,equity,large_cap
163,163,Corteva Inc,CTVA,0.13313,common_share,equity,large_cap
53,53,CVS Health Corporation,CVS,0.39671,common_share,equity,large_cap
17,17,Chevron Corporation,CVX,0.9075,common_share,equity,large_cap
110,110,Dominion Energy Inc,D,0.19803,common_share,equity,large_cap
321,321,Delta Air Lines Inc.,DAL,0.06048,common_share,equity,large_cap
377,377,Invesco DB Agriculture Fund,DBA,,etf,commodities,aggriculture
373,373,Invesco DB Commodity Index Tracking Fund,DBC,,etf,commodities,precious_metals
423,424,iMGP DBi Managed Futures Strategy ETF,DBMF,,etf,alternatives,
245,245,DuPont de Nemours Inc.,DD,0.08744,common_share,equity,large_cap
70,70,Deere & Company,DE,0.30525,common_share,equity,large_cap
252,252,Discover Financial Services,DFS,0.08409,common_share,equity,large_cap
134,134,Dollar General Corporation,DG,0.16764,common_share,equity,large_cap
288,288,D.R. Horton Inc.,DHI,0.06913,common_share,equity,large_cap
