Province_State,Country_Region,Lat,Long,Population,Date,Vaccinations
Acre,Brazil,,,,5/14/2021,150148
Acre,Brazil,,,,5/15/2021,150148
Acre,Brazil,,,,5/16/2021,150148
Acre,Brazil,,,,5/17/2021,153647
Acre,Brazil,,,,5/18/2021,153647
Acre,Brazil,,,,5/19/2021,153647
Acre,Brazil,,,,5/20/2021,165608
Acre,Brazil,,,,5/21/2021,165608
Acre,Brazil,,,,5/22/2021,171396
Acre,Brazil,,,,5/23/2021,174221
Acre,Brazil,,,,5/24/2021,175067
Acre,Brazil,,,,5/25/2021,178059
Acre,Brazil,,,,5/26/2021,180473
Acre,Brazil,,,,5/27/2021,182447
Acre,Brazil,,,,5/28/2021,189271
Acre,Brazil,,,,5/29/2021,191046
Acre,Brazil,,,,5/30/2021,191729
Acre,Brazil,,,,5/31/2021,194214
Acre,Brazil,,,,6/1/2021,196027
Acre,Brazil,,,,6/2/2021,197742
Acre,Brazil,,,,6/3/2021,198480
Acre,Brazil,,,,6/4/2021,200469
Acre,Brazil,,,,6/5/2021,201079
Acre,Brazil,,,,6/6/2021,201986
Acre,Brazil,,,,6/7/2021,205751
Acre,Brazil,,,,6/8/2021,208637
Acre,Brazil,,,,6/9/2021,212398
Acre,Brazil,,,,6/10/2021,216233
Acre,Brazil,,,,6/11/2021,220186
Acre,Brazil,,,,6/12/2021,221479
Acre,Brazil,,,,6/13/2021,223355
Acre,Brazil,,,,6/14/2021,227329
Acre,Brazil,,,,6/15/2021,229826
Acre,Brazil,,,,6/16/2021,238565
Acre,Brazil,,,,6/17/2021,246796
Acre,Brazil,,,,6/18/2021,255257
Acre,Brazil,,,,6/19/2021,262223
Acre,Brazil,,,,6/20/2021,266101
Acre,Brazil,,,,6/21/2021,275652
Acre,Brazil,,,,6/22/2021,287424
Acre,Brazil,,,,6/23/2021,298452
Acre,Brazil,,,,6/24/2021,304886
Acre,Brazil,,,,6/25/2021,319602
Acre,Brazil,,,,6/26/2021,319602
Acre,Brazil,,,,6/27/2021,322133
Acre,Brazil,,,,6/28/2021,322822
Acre,Brazil,,,,6/29/2021,341514
Acre,Brazil,,,,6/30/2021,341514
Acre,Brazil,,,,7/1/2021,358032
Acre,Brazil,,,,7/2/2021,364773
Acre,Brazil,,,,7/3/2021,364906
Acre,Brazil,,,,7/4/2021,369338
