row_names,account_id,ticker,date,variable,value,price_type,quantity
1,933,SLV,2022-09-09,SLV.Adjusted,17.32,Adjusted,392.0
2,933,ROST,2022-09-09,ROST.Adjusted,93.510002,Adjusted,610.0
3,933,EMB,2022-09-09,EMB.Adjusted,86.129997,Adjusted,748.0
4,933,SCO,2022-09-09,SCO.Adjusted,25.559999,Adjusted,522.0
5,933,AGG,2022-09-09,AGG.Adjusted,99.779999,Adjusted,332.0
6,933,NUE,2022-09-09,NUE.Adjusted,143.559998,Adjusted,673.0
7,933,CSCO,2022-09-09,CSCO.Adjusted,45.77,Adjusted,436.0
8,933,SGOL,2022-09-09,SGOL.Adjusted,16.450001,Adjusted,413.0
9,933,SHV,2022-09-09,SHV.Adjusted,109.980003,Adjusted,350.0
10,933,BIL,2022-09-09,BIL.Adjusted,91.470001,Adjusted,458.0
11,933,PDBC,2022-09-09,PDBC.Adjusted,17.15,Adjusted,548.0
12,933,CMS,2022-09-09,CMS.Adjusted,69.849998,Adjusted,331.0
13,933,ENPH,2022-09-09,ENPH.Adjusted,305.700012,Adjusted,342.0
14,933,FTLS,2022-09-09,FTLS.Adjusted,49.700001,Adjusted,797.0
15,933,SCHI,2022-09-09,SCHI.Adjusted,44.07,Adjusted,820.0
16,933,BND,2022-09-09,BND.Adjusted,73.830002,Adjusted,368.0
17,252,SVIX,2022-09-09,SVIX.Adjusted,13.1,Adjusted,597.0
18,252,IEMG,2022-09-09,IEMG.Adjusted,48.07,Adjusted,421.0
19,252,WST,2022-09-09,WST.Adjusted,313.51001,Adjusted,770.0
20,252,INTC,2022-09-09,INTC.Adjusted,31.459999,Adjusted,697.0
21,252,BIL,2022-09-09,BIL.Adjusted,91.470001,Adjusted,794.0
22,252,SIVR,2022-09-09,SIVR.Adjusted,18.059999,Adjusted,239.0
23,252,KRBN,2022-09-09,KRBN.Adjusted,38.580002,Adjusted,338.0
24,252,VGSH,2022-09-09,VGSH.Adjusted,58.389999,Adjusted,323.0
25,252,IAU,2022-09-09,IAU.Adjusted,32.580002,Adjusted,535.0
26,252,KMLM,2022-09-09,KMLM.Adjusted,36.435001,Adjusted,853.0
27,252,IUSB,2022-09-09,IUSB.Adjusted,46.130001,Adjusted,366.0
28,252,VMBS,2022-09-09,VMBS.Adjusted,46.869999,Adjusted,284.0
29,252,FMF,2022-09-09,FMF.Adjusted,50.07,Adjusted,312.0
30,252,BND,2022-09-09,BND.Adjusted,73.830002,Adjusted,280.0
31,252,GLD,2022-09-09,GLD.Adjusted,159.820007,Adjusted,944.0
32,252,DBC,2022-09-09,DBC.Adjusted,25.389999,Adjusted,704.0
33,252,GLTR,2022-09-09,GLTR.Adjusted,82.639999,Adjusted,455.0
34,252,BTAL,2022-09-09,BTAL.Adjusted,19.139999,Adjusted,555.0
35,252,SRE,2022-09-09,SRE.Adjusted,173.759995,Adjusted,855.0
36,252,BCI,2022-09-09,BCI.Adjusted,27.42,Adjusted,539.0
37,252,PPLT,2022-09-09,PPLT.Adjusted,81.68,Adjusted,110.0
38,252,BSV,2022-09-09,BSV.Adjusted,76.080002,Adjusted,147.0
39,252,CTA,2022-09-09,CTA.Adjusted,28.91,Adjusted,421.0
40,252,BIDU,2022-09-09,BIDU.Adjusted,138.429993,Adjusted,964.0
41,252,IAUM,2022-09-09,IAUM.Adjusted,17.139999,Adjusted,720.0
42,252,DD,2022-09-09,DD.Adjusted,58.389999,Adjusted,611.0
43,252,T,2022-09-09,T.Adjusted,17.030001,Adjusted,405.0
44,252,MCO,2022-09-09,MCO.Adjusted,299.540009,Adjusted,289.0
45,252,RLY,2022-09-09,RLY.Adjusted,28.709999,Adjusted,426.0
46,252,USO,2022-09-09,USO.Adjusted,71.099998,Adjusted,432.0
47,252,SHY,2022-09-09,SHY.Adjusted,82.080002,Adjusted,672.0
48,252,TOKE,2022-09-09,TOKE.Adjusted,7.625,Adjusted,269.0
49,252,ARB,2022-09-09,ARB.Adjusted,26.999001,Adjusted,784.0
50,252,UCO,2022-09-09,UCO.Adjusted,32.139999,Adjusted,915.0
51,252,DBMF,2022-09-09,DBMF.Adjusted,32.779999,Adjusted,153.0
52,252,UVIX,2022-09-09,UVIX.Adjusted,9.21,Adjusted,155.0
53,252,PFG,2022-09-09,PFG.Adjusted,78.290001,Adjusted,805.0
54,252,RINF,2022-09-09,RINF.Adjusted,33.330002,Adjusted,740.0
55,252,BNDX,2022-09-09,BNDX.Adjusted,48.709999,Adjusted,934.0
